code,name,acronym,sphere,nature,group_type,ccfla_main,ccfla_secondary,justification
ORG-18,Câmara Municipal de Maringá,CMM,Municipal,Poder legislativo,Público,"D4 – Governança, Participação e Articulação Institucional",D2,Poder legislativo municipal; aprovação de instrumentos legais e orçamentários da política climática. Com assento no COMDEMA (2021–2026).
ORG-19,Associação Comercial e Empresarial de Maringá,ACIM,Municipal,Entidade empresarial,Privado,"D4 – Governança, Participação e Articulação Institucional",D2,"Setor produtivo com assento no COMDEMA (2021–2026); relevante para mobilização de investimento privado, PPPs e engajamento na governança climática."
ORG-20,Federação das Indústrias do Estado do Paraná,FIEP,Estadual,Entidade empresarial,Privado,"D4 – Governança, Participação e Articulação Institucional",D2,"Representação industrial com assento no COMDEMA (2021–2026); relevante para transição produtiva, financiamento privado e PPPs."
ORG-21,Conselho de Desenvolvimento Econômico de Maringá,CODEM,Municipal,Conselho/entidade,Privado,"D4 – Governança, Participação e Articulação Institucional",D2,Articulação de desenvolvimento econômico local com assento no COMDEMA (2021–2026); relevante para agenda de investimentos e engajamento privado.
ORG-22,COCAMAR Cooperativa Agroindustrial,COCAMAR,Regional,Cooperativa,Privado,"D4 – Governança, Participação e Articulação Institucional",,"Cooperativa agroindustrial com assento no COMDEMA (2021–2026); interface com uso do solo, cadeias produtivas e financiamento verde do agro."
ORG-23,INTEGRADA Cooperativa Agroindustrial,INTEGRADA,Regional,Cooperativa,Privado,"D4 – Governança, Participação e Articulação Institucional",,"Cooperativa agroindustrial com assento no COMDEMA (2021–2026); relevante para bioeconomia, uso do solo e financiamento do agro."
ORG-24,Sindicato Rural de Maringá,Sind. Rural,Municipal,Sindicato,Privado,"D4 – Governança, Participação e Articulação Institucional",,Representação do setor rural com assento no COMDEMA (2021–2026); interface rural–urbana e engajamento produtivo.
ORG-25,Sindicato da Indústria da Construção Civil,SINDUSCON,Regional,Sindicato,Privado,"D4 – Governança, Participação e Articulação Institucional",D1,Setor da construção civil com assento no COMDEMA (2021–2026); relevante para construção sustentável e projetos financiáveis.
ORG-26,"Instituto Cesumar de Ciência, Tecnologia e Inovação / Unicesumar",ICETI/Unicesumar,Municipal,Instituição de ensino/pesquisa,Academia,"D3 – Dados, Conhecimento e Inteligência Climática",,Produção de conhecimento e pesquisa aplicada com assento no COMDEMA (2021–2026); apoio a dados científicos e estudos de vulnerabilidade.
ORG-27,Faculdade Metropolitana de Maringá,UNIFAMMA,Municipal,Instituição de ensino,Academia,"D3 – Dados, Conhecimento e Inteligência Climática",,Instituição de ensino com assento no COMDEMA (2021–2026); apoio a estudos e capacitação técnica.
ORG-28,Centro Universitário (UNICV),UNICV,Municipal,Instituição de ensino,Academia,"D3 – Dados, Conhecimento e Inteligência Climática",,Instituição de ensino com assento no COMDEMA (2021–2026); apoio a produção de conhecimento local.
ORG-29,Instituto Funverde,Funverde,Municipal,ONG socioambiental,Sociedade Civil,"D4 – Governança, Participação e Articulação Institucional",D1,ONG socioambiental com assento no COMDEMA (2021–2026); participação e controle social da agenda ambiental.
ORG-30,Instituto Cidade Canção,ICC,Municipal,ONG/fundação,Sociedade Civil,"D4 – Governança, Participação e Articulação Institucional",,Organização da sociedade civil com assento no COMDEMA (2021–2026); mobilização social e projetos socioambientais.
ORG-31,Instituto BiodiverCidade,BiodiverCidade,Municipal,ONG socioambiental,Sociedade Civil,"D4 – Governança, Participação e Articulação Institucional",D3,ONG voltada à biodiversidade urbana com assento no COMDEMA (2021–2026); apoio a dados e projetos de conservação.
ORG-32,Conselho Regional de Engenharia e Agronomia,CREA,Estadual,Conselho profissional,Sociedade Civil,"D4 – Governança, Participação e Articulação Institucional",,Conselho profissional com assento no COMDEMA (2021–2026); assessoria técnica e participação na governança.
ORG-33,Conselho Regional de Biologia,CRBio,Estadual,Conselho profissional,Sociedade Civil,"D4 – Governança, Participação e Articulação Institucional",,Conselho profissional com assento no COMDEMA (2021–2026); assessoria técnica ambiental e participação.
ORG-34,Ordem dos Advogados do Brasil,OAB,Estadual,Conselho profissional,Sociedade Civil,"D4 – Governança, Participação e Articulação Institucional",,Conselho profissional com assento no COMDEMA (2021–2026); assessoria jurídica e participação na governança.
